id,name,url,year,mkb,mkb_codes,size_bytes
74,БАКТЕРИАЛЬНЫЕ КИШЕЧНЫЕ ИНФЕКЦИИ У ДЕТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БАКТЕРИАЛЬНЫЕ КИШЕЧНЫЕ ИНФЕКЦИИ У ДЕТЕЙ.pdf,2025,,[],628061
75,БАКТЕРИАЛЬНЫЙ СЕПСИС НОВОРОЖДЕННОГО,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БАКТЕРИАЛЬНЫЙ СЕПСИС НОВОРОЖДЕННОГО.pdf,2025,,[],706360
76,БЕЛКОВО – ЭНЕРГЕТИЧЕСКОЙ НЕДОСТАТОЧНОСТИ (БЭН) У ДЕТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БЕЛКОВО – ЭНЕРГЕТИЧЕСКОЙ НЕДОСТАТОЧНОСТИ (БЭН) У ДЕТЕЙ.pdf,2025,,[],473305
77,БЕШЕНСТВО У ВЗРОСЛЫХ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БЕШЕНСТВО У ВЗРОСЛЫХ.pdf,2025,,[],392045
78,БЛЕФАРИТ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БЛЕФАРИТ.pdf,2025,,[],485274
79,БОЛЕЗНИ ВИЛЛЕБРАНДА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БОЛЕЗНИ ВИЛЛЕБРАНДА.pdf,2025,,[],631699
80,БОЛЕЗНИ ГУБ У ДЕТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БОЛЕЗНИ ГУБ У ДЕТЕЙ.pdf,2025,,[],361766
81,БОЛЕЗНИ ОРГАНОВ ДЫХАНИЯ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БОЛЕЗНИ ОРГАНОВ ДЫХАНИЯ.pdf,2025,,[],860836
82,"БОЛЕЗНИ ПЕЧЕНИ, СВЯЗАННЫЕ С БЕРЕМЕННОСТЬЮ","https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БОЛЕЗНИ ПЕЧЕНИ, СВЯЗАННЫЕ С БЕРЕМЕННОСТЬЮ.pdf",2025,,[],1124914
83,БОЛЕЗНЬ ВИЛЬСОНА КОНОВАЛОВА У ДЕТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БОЛЕЗНЬ ВИЛЬСОНА КОНОВАЛОВА У ДЕТЕЙ.pdf,2025,,[],913794
84,БОЛЕЗНЬ ГИРШПРУНГА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БОЛЕЗНЬ ГИРШПРУНГА.pdf,2025,,[],204775
85,БОЛЕЗНЬ ГОРХЕМА – СТАУТА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БОЛЕЗНЬ ГОРХЕМА – СТАУТА.pdf,2025,,[],929207
86,БОЛЕЗНЬ ГОШЕ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БОЛЕЗНЬ ГОШЕ.pdf,2025,,[],565386
87,БОЛЕЗНЬ ДЮРИНГА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БОЛЕЗНЬ ДЮРИНГА.pdf,2025,,[],301024
88,БОЛЕЗНЬ ИЦЕНКО-КУШИНГА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БОЛЕЗНЬ ИЦЕНКО-КУШИНГА.pdf,2025,,[],2622741
89,БОЛЕЗНЬ КРОНА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БОЛЕЗНЬ КРОНА.pdf,2025,,[],756134
90,БОЛЕЗНЬ КРОНА У ДЕТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БОЛЕЗНЬ КРОНА У ДЕТЕЙ.pdf,2025,,[],554591
91,БОЛЕЗНЬ НИМАННА-ПИКА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БОЛЕЗНЬ НИМАННА-ПИКА.pdf,2025,,[],473244
92,БОЛЕЗНЬ ПАРКИНСОНА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БОЛЕЗНЬ ПАРКИНСОНА.pdf,2025,,[],873534
93,БОЛЕЗНЬ ПОМПЕ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БОЛЕЗНЬ ПОМПЕ.pdf,2025,,[],372742
94,БОЛЕЗНЬ ФАБРИ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БОЛЕЗНЬ ФАБРИ.pdf,2025,,[],868478
95,БОЛЕЗНЬ ШЕГРЕНА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БОЛЕЗНЬ ШЕГРЕНА.pdf,2025,,[],715394
209,ГЕМОРРОЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГЕМОРРОЙ.pdf,2025,,[],667725
96,"БОЛЕЗНЬ, ВЫЗВАННАЯ ВИРУСОМ ЭБОЛА","https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БОЛЕЗНЬ, ВЫЗВАННАЯ ВИРУСОМ ЭБОЛА.pdf",2025,,[],1005180
97,БОТУЛИЗМ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БОТУЛИЗМ.pdf,2025,,[],198223
98,БОТУЛИЗМ У ДЕТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БОТУЛИЗМ У ДЕТЕЙ.pdf,2025,,[],304012
99,БРОНХИАЛЬНАЯ АСТМА У ВЗРОСЛЫХ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БРОНХИАЛЬНАЯ АСТМА У ВЗРОСЛЫХ.pdf,2025,,[],1404557
100,БРОНХИАЛЬНАЯ АСТМА У ДЕТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БРОНХИАЛЬНАЯ АСТМА У ДЕТЕЙ.pdf,2025,,[],1755248
101,БРОНХИТЫ У ДЕТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БРОНХИТЫ У ДЕТЕЙ.pdf,2025,,[],534485
102,"БРОНХОЛЕГОЧНАЯ ДИСПЛАЗИЯ, ВОЗНИКШАЯ","https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БРОНХОЛЕГОЧНАЯ ДИСПЛАЗИЯ, ВОЗНИКШАЯ.pdf",2025,,[],661583
103,БРОНХОЭКТАТИЧЕСКАЯ БОЛЕЗНЬ У ДЕТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БРОНХОЭКТАТИЧЕСКАЯ БОЛЕЗНЬ У ДЕТЕЙ.pdf,2025,,[],179070
104,БРУЦЕЛЛЕЗ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БРУЦЕЛЛЕЗ.pdf,2025,,[],1039843
105,БРЮШНОЙ ТИФИ ПАРАТИФЫ У ДЕТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/БРЮШНОЙ ТИФИ ПАРАТИФЫ У ДЕТЕЙ.pdf,2025,,[],316309
